"age","hours","listen_work","play_instrument","composer","bpm","foreign","fav_classical","fav_pop","fav_rock","fav_other","anxiety","depression","insomnia"
23,2,1,0,0,100,1,0,0,0,1,6,3,0
16,3,0,0,0,140,0,0,1,0,0,7,5,5
19,4,1,0,0,156,0,0,1,0,0,7,10,5
22,2,1,1,0,98,1,0,0,1,0,8,6,0
19,8,1,0,0,100,1,0,0,0,1,4,3,0
23,4,1,0,0,78,1,0,0,0,1,7,6,7
23,2,0,1,0,117,1,0,0,0,1,7,3,2
22,1,0,0,1,128,0,0,0,0,1,2,7,5
17,3,1,0,0,130,0,0,0,1,0,7,8,6
28,0.5,0,0,0,130,0,0,0,0,1,4,7,1
23,2,0,0,0,NA,1,0,0,1,0,7,8,5
19,3,1,0,0,126,1,0,0,1,0,5,2,8
17,2,1,1,1,122,1,0,0,0,1,10,7,4
21,1,0,0,0,179,0,0,0,1,0,6,5,0
29,5,1,0,0,200,1,0,0,0,1,7,2,3
22,10,0,1,1,128,1,0,0,0,1,4,7,7
18,4,1,1,1,130,1,0,1,0,0,4,5,6
13,2,1,1,1,120,0,0,0,1,0,7,10,5
24,1,0,0,0,86,0,0,0,0,1,6,4,5
35,6,1,0,0,166,1,0,0,1,0,4,1,3
29,1,1,1,0,110,0,0,0,0,1,6,6,1
28,6,1,0,0,144,0,0,0,1,0,10,8,7
32,7,1,0,0,120,1,0,1,0,0,10,8,2
32,1,0,0,0,120,0,0,0,0,1,3,6,2
21,3,1,1,0,160,0,0,0,1,0,8,9,2
18,2,1,1,0,101,1,0,0,0,1,8,3,8
19,3,1,1,0,122,0,1,0,0,0,3,3,1
18,2,1,1,0,NA,1,0,1,0,0,6,5,2
16,3,1,0,1,NA,0,0,1,0,0,0,0,4
25,1.5,1,0,0,61,0,0,1,0,0,6,5,0
17,4,1,0,0,79,1,0,0,0,1,3,8,0
16,2,1,0,0,126,1,0,0,0,1,1,8,0
27,10,1,0,0,185,1,0,0,0,1,5,6,6
53,7,1,0,0,92,1,0,1,0,0,0,0,0
25,1,1,0,0,107,0,0,0,0,1,0,8,0
34,2,0,0,0,120,0,0,0,0,1,3,7,0
22,6,1,1,1,140,1,0,0,0,1,8,8,8
17,2,1,1,1,94,0,0,0,0,1,5,2,3
26,3,1,1,0,160,0,0,0,0,1,8,8,3
19,8,1,0,0,174,0,0,0,0,1,6,8,8
21,3,1,0,0,136,1,0,1,0,0,6,8,6
32,3,1,1,1,144,1,0,0,1,0,6,6,7
21,3,1,0,0,77,0,0,0,1,0,9,10,3
25,2,0,1,0,120,0,0,1,0,0,7,7,5
26,1,0,0,0,NA,0,0,0,1,0,10,7,2
21,2,1,1,0,NA,1,0,0,0,1,1,3,0
17,2,1,1,0,NA,1,0,1,0,0,5,3,2
28,4,1,0,0,194,1,0,0,1,0,6,8,1
41,4,1,0,0,60,0,0,1,0,0,7,2,0
18,1,1,1,0,190,1,0,0,0,1,6,9,9
22,2,0,0,0,87,1,0,0,0,1,1,1,4
18,2,1,0,0,122,1,0,0,0,1,0,2,0
49,1,1,0,0,156,0,0,0,0,1,8,8,2
21,3,1,1,1,150,0,0,0,0,1,3,3,7
27,10,1,0,0,194,1,0,0,0,1,8,8,3
19,1,0,0,1,160,1,0,0,0,1,6,4,0
27,3,1,0,0,171,1,0,0,0,1,1,0,0
27,1.5,1,0,0,95,0,0,0,1,0,5,5,4
19,3,1,1,0,114,1,0,0,0,1,8,9,6
42,2.5,1,1,0,148,1,0,0,1,0,8,8,7
60,2,1,0,0,119,0,0,0,0,1,3,0,2
19,5,1,0,0,136,1,0,0,0,1,0,5,1
20,2,1,0,0,141,0,0,1,0,0,6,3,0
28,2,0,0,1,146,0,0,0,0,1,1,7,5
16,2,0,1,1,NA,0,0,0,0,1,4,2,1
18,2,1,0,0,164,1,0,0,0,1,5,6,0
34,1,1,0,0,NA,1,0,0,1,0,1,0,0
18,1.5,1,0,0,NA,0,0,1,0,0,8,6,5
21,5,1,1,1,128,1,0,0,0,1,9,4,0
38,0.5,0,0,0,NA,1,0,0,1,0,4,6,6
17,2,1,0,0,NA,1,0,0,1,0,7,3,1
35,0.5,0,0,0,NA,0,0,1,0,0,10,3,1
21,2,1,0,0,101,1,0,0,1,0,8,8,3
25,2.5,1,0,0,NA,0,0,0,0,1,7,6,5
18,2,1,1,0,98,1,0,0,0,1,7,2,3
16,2,0,0,0,145,0,0,1,0,0,10,3.5,5
19,1,1,0,0,94,1,0,1,0,0,7,5,1
31,4,1,1,0,103,1,1,0,0,0,6,8,9
26,5,1,0,0,NA,0,0,0,1,0,2,9,2
16,2,1,1,1,112,0,0,0,1,0,7,4,10
26,2,1,1,0,NA,1,0,0,1,0,7,5,6
17,2,1,0,0,118,1,0,0,0,1,6,1,0
22,1,1,1,0,NA,1,0,0,0,1,3,6,1
20,4,1,0,0,113,1,0,0,0,1,9,10,3
30,1,0,1,0,162,0,0,0,1,0,8,5,8
26,4,1,0,0,NA,0,0,1,0,0,8,7,7
19,5,1,0,0,111,1,0,0,1,0,9,9,9
21,5,1,0,0,85,0,0,0,0,1,9,8,9
33,7,1,0,0,134,1,0,0,1,0,9,3,7
28,2,1,0,0,172,0,0,0,1,0,10,8,6
25,3,1,0,0,180,1,0,0,1,0,9,6,3
22,2,1,0,0,120,0,0,1,0,0,7,7,8
19,3,1,0,1,76,1,0,0,1,0,9,10,4
44,3,1,0,0,130,1,0,0,0,1,9,9,8
22,3,1,0,0,NA,0,0,0,1,0,9,10,3
26,5,1,1,1,109,1,0,0,0,1,10,9,8
23,6,1,0,1,96,1,1,0,0,0,6,5,6
17,2,0,0,0,148,1,0,0,0,1,8,6,10
42,2,0,0,0,NA,0,0,0,0,1,8,3,6
30,1,0,1,0,129,0,0,0,1,0,4,2,1
35,1,1,0,0,81,1,0,1,0,0,2,1,1
20,3,0,0,0,136,0,0,0,1,0,10,10,7
18,3,1,0,0,155,1,0,0,0,1,8,9,0
21,1,0,0,0,NA,1,0,1,0,0,4,9,6
19,6,1,0,0,52,1,0,0,1,0,4,2,0
37,4,1,0,0,97,0,0,0,1,0,9,2,7
31,2,1,0,0,92,1,0,0,0,1,8,6,7
29,2,1,1,0,100,1,0,0,0,1,6,5,4
20,3,1,0,0,120,1,0,0,1,0,8,5,2
36,8,1,1,1,143,1,0,0,0,1,7,6,6
18,3,1,1,0,118,0,0,0,1,0,10,2,0
18,2,1,0,0,130,1,0,0,0,1,6,0,0
25,7,1,0,0,120,1,0,1,0,0,2,0,1
18,12,1,NA,0,126,1,0,0,0,1,3,7,5
31,9,1,0,0,158,1,0,1,0,0,9,0,2
17,2,1,0,0,160,1,0,1,0,0,5,4,1
21,1,1,0,0,NA,1,0,0,0,1,8,4,0
30,1,0,0,0,119,0,0,0,0,1,8,10,2
40,2,1,0,0,120,1,0,0,0,1,3,6,2
64,4,1,0,0,200,0,0,0,1,0,4,4,2
14,2,1,1,0,136,1,0,0,1,0,7,5,2
26,6,1,0,0,104,0,0,0,1,0,3,2,0
35,4,1,1,1,90,1,0,0,0,1,9,9,5
33,1,0,0,0,120,0,0,0,1,0,3,10,4
30,6,1,0,0,89,1,0,0,0,1,9,0,5
31,2,0,1,0,95,NA,0,0,0,1,7,6,6
27,5,1,0,1,140,1,0,0,0,1,0,9,4
53,1.5,0,0,0,92,1,0,1,0,0,2,2,2
23,5,1,1,1,120,1,0,0,0,1,6,9,2
25,2,1,0,1,128,0,0,0,0,1,6,4,1
16,4,1,1,0,140,1,0,0,0,1,8,9,4
18,2,1,1,1,NA,0,0,0,1,0,6,7,4
29,5,1,1,1,NA,1,1,0,0,0,7,2,2
31,6,1,0,0,136,1,0,0,0,1,8,6,5
31,1,0,0,0,132,1,0,0,1,0,3,10,0
38,6,1,1,0,107,1,0,1,0,0,9,4,9
17,4,0,1,0,135,1,1,0,0,0,7,9,2
25,2,0,0,0,171,1,0,0,0,1,10,3,1
20,2,0,1,1,220,1,0,0,0,1,0,0,0
15,2,1,0,0,171,0,0,0,0,1,9,6,1
16,4,1,0,1,85,0,0,0,0,1,7,1,3
20,2,1,1,0,174,1,0,0,0,1,9,7,5
23,6,1,0,0,87,1,0,0,0,1,3,1,2
22,3,1,0,0,77,1,0,0,0,1,6,6,8
15,5,1,0,0,126,1,0,0,1,0,10,6,0
17,0.5,1,1,0,136,1,0,0,0,1,6,3,1
22,1,1,0,0,80,1,0,0,0,1,3,3,0
21,10,1,0,0,92,1,0,0,0,1,9,10,2
19,2,1,0,0,120,1,0,1,0,0,7,5,0
32,0.5,0,0,0,NA,0,1,0,0,0,3,0,4
34,1,0,0,0,138,1,0,0,1,0,9,9,6
18,2,1,1,0,150,1,0,0,0,1,5,7,7
21,3,1,0,0,108,0,0,0,0,1,0,8,0
20,3,0,0,0,119,1,0,0,0,1,8,4,3
19,2,1,0,0,125,0,0,0,0,1,7,2,0
25,1,0,0,0,NA,1,0,1,0,0,9,9,6
31,8,1,1,0,NA,1,1,0,0,0,5,7,5
21,1,1,1,0,85,1,0,1,0,0,5,1,0
31,1,0,0,1,113,1,0,0,0,1,4,1,3
20,1,0,0,0,86,0,0,1,0,0,3,5,3
19,5,1,1,0,141,0,0,0,1,0,2,2,0
19,5,1,0,0,97,1,0,0,0,1,0,1,3
23,4,1,0,0,NA,1,0,0,0,1,7,8,6
24,8,1,0,1,120,0,0,0,0,1,6,4,8
20,0.7,0,0,0,144,0,0,0,1,0,5,6,8
15,3,0,0,0,84,0,0,0,0,1,6,6,2
17,7,1,0,0,84,1,0,0,0,1,8,9,3
20,1.5,0,1,1,60,1,0,0,0,1,8,4,3
14,4,1,1,1,81,1,0,0,0,1,8,6,5
24,4,1,0,0,150,1,0,0,0,1,8,8,7
14,10,1,0,1,95,0,0,0,0,1,5,2,5
23,2,1,1,1,138,0,0,0,1,0,6,8,4
28,2,1,0,0,NA,0,0,0,1,0,7,5,2
22,6,1,0,0,140,1,0,0,0,1,8,8,7
25,0.5,1,1,0,139,1,0,0,1,0,10,2,0
27,2,1,1,1,100,1,0,1,0,0,8,7,7
18,5,1,0,0,NA,1,0,0,1,0,8,8,8
17,3,1,1,1,120,0,0,1,0,0,8,10,9
23,4.5,1,0,0,NA,1,0,0,1,0,6,1,8
40,3,1,0,0,178,1,0,0,1,0,0,4,4
27,20,1,0,0,NA,1,0,0,1,0,8,10,10
18,1,0,0,0,100,0,0,1,0,0,3,2,0
16,2.5,0,1,1,110,0,0,0,0,1,5,3,3
18,1,0,0,0,108,1,0,0,1,0,8,9,6
23,2,0,1,0,NA,1,0,0,0,1,10,3,0
15,5,1,1,0,161,0,0,0,0,1,6,7,8
20,3,1,1,0,200,0,0,0,0,1,7,4,7
16,3,1,1,0,NA,0,0,0,1,0,9,8,6
16,0.5,0,0,0,156,1,0,0,1,0,8,0,0
20,8,1,1,1,120,0,0,0,0,1,8,9,2
33,2,1,0,0,NA,1,0,0,0,1,7,2,3
22,3,1,1,1,90,1,0,0,1,0,10,10,4
21,3,1,0,0,85,1,0,0,0,1,8,8,3
21,5,1,1,0,171,1,0,0,0,1,8,7,7
29,1.5,1,0,1,108,1,0,0,1,0,8,7,1
56,1,1,0,0,105,0,0,1,0,0,6,5,10
17,2,1,1,0,76,0,0,1,0,0,7,6,0
22,1,1,0,0,108,0,0,1,0,0,7,4,0
26,4,1,0,0,140,1,0,1,0,0,8,7,2
30,1,1,0,0,200,1,0,0,0,1,4,4,4
49,2,1,0,0,147,0,0,0,0,1,0,0,2
22,2,1,1,1,120,1,0,0,0,1,6,4,0
32,2,0,0,0,158,0,0,0,1,0,4,7,0
32,1,0,0,0,110,0,0,0,1,0,8,4,3
22,6,1,0,0,103,0,0,0,0,1,5,5,3
17,2,1,0,0,93,1,0,0,1,0,0,8,0
